"","X","Y","Price","Category"
"264",570854.589317,3871760.31968,12.34,"Rice_Field"
"265",570824.264293,3871751.27054,23.17,"Rice_Field"
"266",570896.699642,3871759.53529,20.28,"Rice_Field"
"267",570881.527718,3871770.85322,10.47,"Rice_Field"
"268",570931.84112,3871773.37398,7.34,"Field"
"269",570935.703552,3871783.01743,24.73,"Field"
"270",570929.325859,3871763.70708,0.35,"Forest"
"271",570908.463381,3871773.97572,36.39,"Rice_Field"
"272",570966.156574,3871750.35519,4.67,"Forest"
"273",570977.058258,3871738.06597,21.52,"Rice_Field"
"274",571028.673382,3871732.7262,0.3,"Forest"
"275",571061.662392,3871721.6873,0.31,"Forest"
"276",571072.487722,3871754.61321,68.77,"Rice_Field"
"277",571047.577329,3871761.48673,36.77,"Rice_Field"
"278",571023.211887,3871754.10973,21.31,"Rice_Field"
"279",570973.02457,3871774.35839,23.48,"Rice_Field"
"280",570963.45792,3871794.33923,4.1,"Rice_Field"
"281",570975.974574,3871799.44657,0.47,"Forest"
"282",571052.460923,3871787.05404,17.53,"Rice_Field"
"283",571012.337378,3871800.1929,0.34,"Forest"
"284",571008.036159,3871783.91757,61.72,"Rice_Field"
"285",571158.059262,3871781.9778,34.11,"Rice_Field"
"286",571133.617989,3871781.69116,27.85,"Rice_Field"
"287",571114.147398,3871784.14069,25.75,"Rice_Field"
"288",571088.759566,3871791.02238,6.1,"Rice_Field"
"289",571109.856145,3871771.58186,9.19,"Rice_Field"
"290",571083.238145,3871788.71471,7.19,"Rice_Field"
"291",571104.169209,3871756.6358,30.2,"Rice_Field"
"292",571093.177614,3871756.46668,11.09,"Rice_Field"
"293",571097.41784,3871724.18446,18.08,"Rice_Field"
"294",571085.408229,3871722.53965,2.25,"Field"
"295",571085.364027,3871710.66538,0.5,"Forest"
"296",571206.635225,3871760.18434,75.27,"Rice_Field"
"297",571179.15589,3871749.97533,19.21,"Rice_Field"
"298",571168.916747,3871742.77508,16.58,"Rice_Field"
"299",571176.132221,3871724.63541,0.48,"Forest"
"300",571188.291782,3871729.58279,0.19,"Forest"
"301",571225.018125,3871740.11999,20.42,"Rice_Field"
"302",571233.327203,3871738.87518,1.57,"Forest"
"303",571147.056158,3871736.53412,46.08,"Rice_Field"
"304",571125.811585,3871743.33336,36.77,"Rice_Field"
"305",571146.942296,3871716.95007,1.91,"Forest"
"306",571108.205211,3871717.68737,0.64,"Forest"
"307",571075.064061,3871689.2355,4.18,"Forest"
"308",571098.565855,3871684.37367,4.55,"Forest"
"309",571086.688366,3871657.54874,15.14,"Forest"
"310",571310.94248,3871681.75712,11.32,"Forest"
"311",571284.561404,3871729.43722,11.32,"Forest"
"312",571212.117251,3871659.39456,92.03,"Forest"
"313",571304.202776,3871613.70042,1.61,"Forest"
"314",571326.678607,3871629.33319,98.08,"Residential"
"315",571315.071427,3871601.05564,13.58,"Residential"
"316",571316.834304,3871589.62915,0.32,"Forest"
"317",571580.78494,3871366.18271,7,"Residential"
"318",571533.672766,3871422.02435,0.4,"Forest"
"319",571065.073108,3870689.81786,0.36,"Forest"
"320",571133.463323,3870658.06284,7.82,"Forest"
"321",571318.876314,3870589.71096,36.26,"Forest"
"322",571118.464501,3870584.48269,51.79,"Rice_Field"
"323",571094.477991,3870606.99902,70.14,"Rice_Field"
"324",571148.364623,3870565.38196,53.78,"Rice_Field"
"325",571173.83555,3870554.69196,44.47,"Rice_Field"
"326",571292.849292,3870474.20363,78.68,"Rice_Field"
